id	filename	md5	size	state
0063417b-85b3-4aa4-a628-b6cad4eb559a	0063417b-85b3-4aa4-a628-b6cad4eb559a/bcbeda64-c2db-44c3-b7f2-b1ca4387f37e.FPKM-UQ.txt.gz	50b3874572c21621ef8a14576f33d205	522693	validated
00c1d4f0-338b-43cf-9779-a629f37665b3	00c1d4f0-338b-43cf-9779-a629f37665b3/9f7d2a09-038f-4a98-85c9-652bdbcc9d33.FPKM-UQ.txt.gz	fdb4ffa1d2fc49971435d68997c3a65e	504428	validated
02ce9ec6-c4fe-4805-9152-a5bb74c75377	02ce9ec6-c4fe-4805-9152-a5bb74c75377/c2827306-b3a3-471b-ba51-f8dbc2572d56.FPKM-UQ.txt.gz	9dae360568adc9ca466cebb98f6c1eca	518132	validated
02f622e4-7254-4e8e-b2c6-e7850382a74c	02f622e4-7254-4e8e-b2c6-e7850382a74c/637fbeaf-4bbf-48af-8c0a-4db38b412784.FPKM-UQ.txt.gz	0fb27dadc1fd3258c9867100c60c241a	530202	validated
034cfa77-404f-45a7-af81-457612751ccd	034cfa77-404f-45a7-af81-457612751ccd/50be2bde-ac1f-4c1d-9890-07ddfd135ca1.FPKM-UQ.txt.gz	b269f1058e3345137a627859870fa2f1	538889	validated
041687a2-0e83-4bf5-b3ea-7db13ea7a3f7	041687a2-0e83-4bf5-b3ea-7db13ea7a3f7/8b38a4c1-3e32-48fd-b8ff-1096aee875ae.FPKM-UQ.txt.gz	df7c92a4f9146a96b93171d693ba73f2	496411	validated
04620cc5-c308-4d12-8d83-cfadc8cd3267	04620cc5-c308-4d12-8d83-cfadc8cd3267/edc8824b-e337-47be-8f6e-9a7516e69df0.FPKM-UQ.txt.gz	96c6d34fd1add2f93108c610e61e449a	499119	validated
0679d44b-c2c0-47dd-8545-8bc42f1efceb	0679d44b-c2c0-47dd-8545-8bc42f1efceb/97e8bc29-7d59-468a-8776-cfd294f05bba.FPKM-UQ.txt.gz	5d5d2118026e9a60c9612fe3b13424f0	515807	validated
0a030ab2-7c05-45ae-a534-a128bb6221d5	0a030ab2-7c05-45ae-a534-a128bb6221d5/b2d78d63-db6d-42d2-bcbe-2938cf7fbf18.FPKM-UQ.txt.gz	f5acbaf8253236c3d80e9051b13af6f0	536972	validated
0a352d40-6fc9-4fee-b46a-ab8dc14bc2d4	0a352d40-6fc9-4fee-b46a-ab8dc14bc2d4/75140780-afad-4633-b7b8-f289abdedcf9.FPKM-UQ.txt.gz	506ad7302c9bf32d206615ae100fb4a5	520614	validated
0d35b415-f011-40e6-a2cb-fff0104fff71	0d35b415-f011-40e6-a2cb-fff0104fff71/b6b4c444-8a5f-44c6-9c25-d1556038bfe5.FPKM-UQ.txt.gz	187e63289dab64cb1968e601044a85d8	551513	validated
0dc44120-6492-467c-9c47-9828c62b290e	0dc44120-6492-467c-9c47-9828c62b290e/dff23fef-04fe-460e-8a3a-c0465936e843.FPKM-UQ.txt.gz	c261ce081d20f1b9fa8231f744a9b080	509976	validated
0de44ed3-c393-4e9d-b863-1ff473e1cbcf	0de44ed3-c393-4e9d-b863-1ff473e1cbcf/33a4dc77-4cfa-49c9-9330-edccbf515aa4.FPKM-UQ.txt.gz	5b75ba81839980e7fe0209c2ca53e4fb	492325	validated
1161b768-f521-48a1-b452-64c64ba10b77	1161b768-f521-48a1-b452-64c64ba10b77/acb3e352-b255-4c41-b90f-5e5ed2273b06.FPKM-UQ.txt.gz	8640a53cf162c452cbe51c0fc088e24f	510280	validated
11a240c9-1d28-4064-9e1e-939a9c16c72f	11a240c9-1d28-4064-9e1e-939a9c16c72f/e27415af-21b2-4382-b660-6a002476f86d.FPKM-UQ.txt.gz	cc3d13486be034e036f68ea594bd4605	530010	validated
