id	filename	md5	size	state
0007f888-6076-454e-9e82-d117215103b2	TCGA-HC-7077-01Z-00-DX1.18652ead-c43f-41bd-aefd-5364bc4d236e.svs	4f8938395e6128403c0a2484393b59cb	65566593	validated
0188cee6-0cfc-47d9-9b20-908aa67b28fe	TCGA-CH-5745-01Z-00-DX1.49835389-232e-4c7f-8550-1501b402d698.svs	33816fa8b9b000b27ed2234342683e4a	94330871	validated
022d3c5c-770a-43ec-a06a-69ee6dd4bd95	TCGA-HC-7232-01Z-00-DX1.a10b0b32-36bf-406c-bb86-fd9a8c309451.svs	e93e4e816b99f5ad504205061932d9e0	224684085	validated
0274b351-975f-4c85-af36-f2d97a335c51	TCGA-CH-5746-01Z-00-DX1.5d6bab11-b652-4730-80ee-7a0dc6bfc806.svs	e4e50295332742140c54080c112fdc93	65521569	validated
02da255d-3b0f-47d1-b861-d2c7ed30b3ad	TCGA-V1-A8WN-01Z-00-DX1.BE5E60A2-FF72-421B-A356-7644493DC708.svs	868bd28705cb4d89ca496cc8479e037a	1483469415	validated
02f5767d-3720-4477-82ce-4601fa91ee1e	TCGA-FC-7708-01Z-00-DX1.393b7c70-fb4e-42cd-8725-ebab83a9400e.svs	5ec8e9586b37cf704908bf2505042a96	197289547	validated
0333305f-2715-4e6f-a437-069a4ff9e91b	TCGA-G9-6343-01Z-00-DX1.e5756f91-d1a7-4cb4-8140-e93bb92bf194.svs	c8eeb10b9f1a996e70dbe0ddc8c81496	496064551	validated
04a47789-b883-42ff-8961-8eb996d061d4	TCGA-G9-6379-01Z-00-DX1.7EE265D9-72A6-4019-924E-D88C865F66CA.svs	a34be564164fe1275da5a2c1c8709e2f	1214225791	validated
04b3b3ec-d9f0-4fe6-853c-50ff29216a6e	TCGA-2A-A8W1-01Z-00-DX1.0CA35481-A243-4722-B3E5-4FB25EC9F6C0.svs	11daf40337dc5cb2ee8900335eda476a	661591057	validated
05baa980-81f2-418e-a0b7-478a8db7a91f	TCGA-YL-A8S8-01Z-00-DX1.54845009-AA3A-4507-9FB6-5C1D11174997.svs	b2e8cb880519966460b910e98b4b9a7c	3340659732	validated
06751412-a038-4a08-8e76-be861410cbdb	TCGA-HC-8260-01Z-00-DX1.b12ffab8-be66-4fb2-98f9-2d78e7b4a09e.svs	3ff3f755320b5f79cf8ebb531bd50a4e	58436505	validated
07fdf668-67ae-4e42-9571-75e6044df7c2	TCGA-CH-5754-01Z-00-DX1.4dae6511-baa2-4472-b625-a41c9c95dec8.svs	175d9629710becc6c54822e308e72064	102232993	validated
