ensemble_id,cluster_id
ENSG00000187486,43
ENSG00000100815,0
ENSG00000145248,15
ENSG00000141380,22
ENSG00000138629,1
ENSG00000221838,43
ENSG00000050555,8
ENSG00000108700,48
ENSG00000215041,33
ENSG00000186710,46
ENSG00000175087,3
ENSG00000165669,33
ENSG00000100441,1
ENSG00000174501,12
ENSG00000043355,43
ENSG00000167604,41
ENSG00000175600,43
ENSG00000072135,30
ENSG00000135423,32
ENSG00000171517,43
ENSG00000123728,26
ENSG00000249715,3
ENSG00000137709,35
ENSG00000273136,33
ENSG00000137942,10
ENSG00000112081,38
ENSG00000177853,12
ENSG00000115457,33
ENSG00000100196,14
ENSG00000104067,10
ENSG00000145147,31
ENSG00000187079,31
ENSG00000167244,5
ENSG00000166971,32
ENSG00000124249,8
ENSG00000091157,16
ENSG00000160117,41
ENSG00000184675,1
ENSG00000141736,18
ENSG00000196247,12
ENSG00000162614,31
ENSG00000254245,24
ENSG00000090382,11
ENSG00000099204,18
ENSG00000183454,28
ENSG00000119535,11
ENSG00000171456,20
ENSG00000100842,2
ENSG00000152061,30
ENSG00000151458,17
ENSG00000234616,25
ENSG00000105556,17
ENSG00000125351,9
ENSG00000164849,14
ENSG00000100083,23
ENSG00000164087,19
ENSG00000164327,0
ENSG00000148090,49
ENSG00000072786,5
ENSG00000122035,40
ENSG00000146950,0
ENSG00000215252,23
ENSG00000103495,22
ENSG00000133059,0
ENSG00000090615,40
ENSG00000243056,33
ENSG00000165660,0
ENSG00000204147,24
ENSG00000130227,42
ENSG00000160229,12
ENSG00000106701,12
ENSG00000197841,12
ENSG00000197054,17
ENSG00000153898,15
ENSG00000137103,18
ENSG00000206077,41
ENSG00000175745,8
ENSG00000180938,39
ENSG00000254858,1
ENSG00000139914,17
ENSG00000119699,2
ENSG00000146966,6
ENSG00000232388,1
ENSG00000072657,31
ENSG00000267206,8
ENSG00000205571,4
ENSG00000175264,45
ENSG00000126218,6
ENSG00000121988,10
ENSG00000182173,23
ENSG00000114353,40
ENSG00000096063,3
ENSG00000135587,33
ENSG00000164818,25
ENSG00000221843,15
ENSG00000177303,8
ENSG00000065150,0
ENSG00000136754,0
ENSG00000070915,37
ENSG00000154975,4
ENSG00000100726,23
ENSG00000075239,29
ENSG00000179029,46
ENSG00000138772,49
ENSG00000144792,4
ENSG00000229314,43
ENSG00000163803,14
ENSG00000047457,13
ENSG00000168301,9
ENSG00000003756,41
ENSG00000118420,4
ENSG00000251493,2
ENSG00000139112,22
ENSG00000169718,33
ENSG00000151743,3
ENSG00000164609,29
ENSG00000083845,21
ENSG00000181333,38
ENSG00000258839,41
ENSG00000122545,30
ENSG00000069974,2
ENSG00000180773,18
ENSG00000196544,33
ENSG00000198929,1
ENSG00000118242,47
ENSG00000175155,2
ENSG00000254535,30
ENSG00000133574,5
ENSG00000196422,25
ENSG00000168246,17
ENSG00000137269,37
ENSG00000135083,35
ENSG00000143321,7
ENSG00000168612,26
ENSG00000135002,4
ENSG00000119147,5
ENSG00000132561,31
ENSG00000111275,2
ENSG00000147394,6
ENSG00000163879,4
ENSG00000275004,12
ENSG00000124228,7
ENSG00000104497,3
ENSG00000156564,27
ENSG00000077943,5
ENSG00000213658,41
ENSG00000172830,29
ENSG00000198774,28
ENSG00000088002,4
ENSG00000198838,14
ENSG00000156531,10
ENSG00000092470,19
ENSG00000168092,14
ENSG00000147655,31
ENSG00000170734,1
ENSG00000103249,18
ENSG00000171462,13
ENSG00000262209,24
ENSG00000184792,4
ENSG00000023330,22
ENSG00000161381,45
ENSG00000144230,14
ENSG00000151929,22
ENSG00000001626,13
ENSG00000128422,13
ENSG00000170214,5
ENSG00000196937,38
ENSG00000169398,10
ENSG00000105397,41
ENSG00000005483,0
ENSG00000073711,7
ENSG00000229474,39
ENSG00000077150,16
ENSG00000159788,3
ENSG00000170264,12
ENSG00000165861,24
ENSG00000181481,30
ENSG00000111981,43
ENSG00000144535,23
ENSG00000136536,10
ENSG00000186132,20
ENSG00000205758,0
ENSG00000143157,33
ENSG00000120725,26
ENSG00000111540,9
ENSG00000205426,47
ENSG00000165795,35
ENSG00000156381,38
ENSG00000114738,43
ENSG00000164825,13
ENSG00000079385,47
ENSG00000108468,22
ENSG00000176046,17
ENSG00000221821,17
ENSG00000088826,33
ENSG00000173227,13
ENSG00000205863,43
ENSG00000120324,24
ENSG00000178149,43
ENSG00000136122,4
ENSG00000109674,19
ENSG00000184730,44
ENSG00000132485,39
ENSG00000148908,20
ENSG00000166275,24
ENSG00000111291,15
ENSG00000176720,12
ENSG00000108961,33
ENSG00000137101,11
ENSG00000133313,49
ENSG00000101639,0
ENSG00000129103,49
ENSG00000167842,22
ENSG00000109861,5
ENSG00000135363,8
ENSG00000111596,12
ENSG00000171056,13
ENSG00000181378,17
ENSG00000162078,12
ENSG00000174013,15
ENSG00000077312,17
